,video_id,suggested_words
495,7328122994608377131,"Laneige Lip Mask, i must be dreaming, cotton candy laneige, laneige lip mask cotton candy, mixing laneige lip mask, mixing laneige sleeping mask, lip mask, laneige australia, are you supposed to mix laneige lip mask, sephora"
498,7347642985795931413,"nct wish, sakuya nct wish, sion, NCT Dream, sakuya voice, sion and sakuya, sion nct wish, sion and jaehyun, nct wish member, NCT 127"
518,7353352636806090026,"Subway, subway sandwich, Gucci, gucci bags, Gucci Shipping Boxes, subway employee, Gucci Runway, Rich Lifestyle, gucci models, Gucci Camera Bag"
519,7327035486059449630,"coquette, coquette bow trend, gym, gym workout, slamming weights at the gym, Gym Training, coquette aesthetic"
536,7344363193680022791,"yuta nct, Taeyong, Yuta, yuta challenge tiktok, nct wish, yuta challenge, Yuta Nakamoto, NCT 127, ยูตะ, 이태용"
537,7340603276280270088,"nct wish, nct dream, sion, sakuya nct wish, sakuya voice, nct wish wish, ryo and sakuya, ryo nct wish, nct wish member, Make A Wish Song By NCT"
548,7341239036482194734,"that's not my neighbour, that's not my neighbour bad ending, that's not my neighbour real form, how to download that's not my neighbor, thatsnotmyneighbor, that's not my neighbour android, that's not my neighbour ending, that's not my neighbour game where to download, thats not my neighbor download, thats not my neighbor mobile"
549,7338782311997066538,"the king crash, just daytona roblox, just daytona, roblox nascar, the crash lightning mcqueen, daytona roblox, king crash, king dinoco crash roblox, dinoco, Daytona"
551,7352713457587834154,"brightening serum, brightening eye cream, eye cream, Dark Eye Circles, dark circles under eyes, Under Eye Bags, Dark Circles, Under Eye Skincare, serums, under eye cream"
556,7332721430448082178,"Yangyang WayV, wayv official, WayV band, YangYang Edits, Yangyang Wayv Kcon, Yangyang And Bahiyyih, Yangyang And Lisa, poppin love wayv"
565,7344394937028365611,"other pov keychain airtag, peter griffin airtag, other pov peter griffin airtag, the other pov peter griffin, other pov key change peter griffin, other pov key change, Airtag, other pov medallion airtag, other pov airtag, keychain for your girlfriend other pov"
567,7327927137598459182,"wall supported rdl, rdl for glute, wall rdl for glutes, Rdls, Glute Exercises, Glute workout, wall rdl, Rdl Exercise, rdl workout, rdls glute workout"
568,7357320027046956295,"heeseung, giselle aespa, aespa_official, Aespa, giselle and heeseung, karina aespa, ningning aespa, giselle from girl group aespa, giselle knowles, giselle tinitigan ko"
569,7348892889230920990,"douyin makeup, Douyin, Douyin Makeup Look, Chinese Makeup, People Doing Makeup, Maquillaje Douyin, Douyin Makeup In Real Life, ancient chinese makeup, Black Hair, chinese makeup ears"
571,7347438946672020779,"saffron stain, turmeric stain, Saffron, tesla seat stain test, saffron stain on tesla, Tesla, Tesla Car, turmeric, Car Cleaning Products, Cleaning Cars"
572,7340398500439428395,"tesla, Tesla Car, Starbuck, McDonald's, Rich, starbucks drink, Tesla Supercharger, Coffee Starbucks Drink, rich lifestyle, Buying A Tesla"
582,7333670598788353310,"babies fake crying, baby side eye, Bombastic Side Eye, Baby Face, Baby Show, Side Eye, baby quails, baby cry impression, fake baby train prank, baby meets mom"
586,7334742347986619691,"crazy eyes, first date, dates, stitch, Going On A Date, sprinkle sprinkle first date, we're on a first date, At Home Date Ideas, first date outfits, first date ideas"
587,7330757041616637214,"Sleeper Build, ashlynsmith.fit, how to get a sleeper build, sleeper build workout, arm workout, workouts, Exercises Workout, Body Building, Fitness Workout, Bodybuilding Workout"
588,7357173825718504720,handball saves rule
592,7354905718597930286,"Spin Me Round, Bloopers, spinning, dancing on my own, hearts2miraaa, Glow Up Trend"
608,7329154468954590510,"Single Leg Rdl, goblet squats, heels elevated squats, squats workout, Rdl, Squats, RDL Workout, RDL Tips, Squat Exercise, Rdl Exercise"
613,7352264336586427678,"edwardzo, buzz cut, Buzz Haircut, hair cut, Buzz Cut Haircut, Buzz Cut Hairstyle, Haircut Haircut, Getting My Hair Cut, hair transformation, haircut styles"
614,7337718747479706885,"go to bed game, go to bed game good ending, did you hide the knives, kubz scouts did you hide the knives, lock your doors game, Games On TikTok, lock your doors game hide the knives, tiktok gaming, Door Lock, Funny Games"
618,7327030008239672618,"sneaker room, Jordan 5, sneaker room setup, sneaker collection, House Transformation, Sneaker Organization, sneaker wall, sneaker, Shoe Wall, Sneakers Closet"
622,7350363802820480298,"suckup gameplay, convincing ai to let me in, convincing ai to let me in their house, convince ai games, video games, fun games, ai game filter, ai robots chargers game, Games We Play, gaming gameplay"
624,7341695745365445890,"taeyong, lee jung boyfriend, taeyong lee, tik_tyong, lee jung boyfriend taeyong, Lee Jung Edits"
626,7346514714228198699,"Cakes, Rich, Tesla Car, Money Cakes, rich lifestyle, Tesla Models, tesla plaid, Tesla Roadster, Rich Life, Rich Black Guy"
629,7354585387022470408,"RIIZE, mrs. green apple, ミセス ダンス, 119 love riize"
630,7328527451968195883,"american polys, american polys vs nz poly, american polynesian, poly tiktok, nz poly, Polynesian, poly chicks, polynesian boys, poly boys, polynesian flag"
